municipality,avg(number_of_vacancies),num_vacancies_per_municipality
Stockholm,1.5505074160811865,6405
Göteborg,1.6722203332199932,2941
,2.904462602137021,1591
Malmö,1.6298909557408596,1559
Uppsala,1.3564638783269962,1052
Linköping,1.7186574531095755,1013
Jönköping,1.6642651296829971,694
Örebro,1.7115384615384615,676
Västerås,1.6477611940298507,670
Lund,1.374021909233177,639
Helsingborg,1.664957264957265,585
Luleå,1.5747330960854093,562
Umeå,2.2025316455696204,553
Norrköping,1.6850094876660342,527
Solna,1.5213675213675213,468
Växjö,1.6793721973094171,446
Gävle,2.5739795918367347,392
Eskilstuna,1.3730569948186528,386
Borås,1.931937172774869,382
Sundsvall,1.9276139410187667,373
Halmstad,2.0716332378223496,349
Ludvika,1.9824561403508771,342
Karlstad,2.059347181008902,337
Södertälje,1.4464831804281346,327
Karlskrona,1.4630872483221478,298
Östersund,2.2813559322033896,295
Kalmar,1.717687074829932,295
Skövde,1.6763636363636363,275
Huddinge,1.9037037037037037,270
Kristianstad,1.6217228464419475,267
Trollhättan,1.374485596707819,243
Haninge,1.7008547008547008,234
Järfälla,1.6754385964912282,228
Varberg,1.7991071428571428,224
Nacka,1.555045871559633,218
Örnsköldsvik,1.6712962962962963,216
Boden,2.5142857142857142,210
Mölndal,3.0686274509803924,204
Täby,1.3990147783251232,203
Värnamo,1.477832512315271,203
Sollentuna,1.3880597014925373,201
Borlänge,2.495,200
Falun,2.1161616161616164,198
Kiruna,2.174358974358974,195
Skellefteå,1.8051282051282052,195
Gotland,1.5572916666666667,192
Uddevalla,1.4545454545454546,187
Nyköping,1.2956989247311828,186
Sigtuna,1.766304347826087,184
Botkyrka,1.4204545454545454,176
Kungälv,1.811764705882353,170
Sundbyberg,1.5058823529411764,170
Karlskoga,2.0294117647058822,170
Piteå,2.0123456790123457,162
Landskrona,1.5822784810126582,158
Finspång,1.3630573248407643,157
Norrtälje,1.4203821656050954,157
Gällivare,2.121794871794872,156
Kungsbacka,2.263157894736842,152
Hässleholm,1.6506849315068493,146
Enköping,1.364963503649635,137
Falkenberg,1.6136363636363635,132
Upplands Väsby,1.3692307692307693,130
Hudiksvall,1.5769230769230769,130
Ängelholm,1.2845528455284554,123
Ljungby,1.6974789915966386,119
Alingsås,1.3728813559322033,118
Motala,1.4273504273504274,117
Stenungsund,2.0789473684210527,114
Ystad,1.7079646017699115,113
Gislaved,1.5446428571428572,112
Lidköping,3.375,112
Danderyd,1.290909090909091,110
Åre,3.176470588235294,102
Upplands-Bro,2.297029702970297,101
Västervik,1.84,100
Härjedalen,3.04,100
Strängnäs,2.0606060606060606,99
Eksjö,1.8484848484848484,99
Katrineholm,1.9090909090909092,99
Nässjö,2.402061855670103,97
Värmdö,1.3645833333333333,96
Partille,1.8191489361702127,94
Mjölby,1.956989247311828,93
Sollefteå,1.576086956521739,92
Vetlanda,2.2555555555555555,90
Tyresö,1.3888888888888888,90
Lidingö,1.430232558139535,86
Oskarshamn,1.5232558139534884,86
Falköping,2.211764705882353,85
Malung-Sälen,3.7051282051282053,78
Mariestad,2.1666666666666665,78
Härnösand,1.8421052631578947,76
Vänersborg,1.5,76
Arboga,1.4383561643835616,73
Härryda,2.6338028169014085,71
Sandviken,1.457142857142857,70
Österåker,1.0714285714285714,70
Trelleborg,1.3,70
Ulricehamn,1.4428571428571428,70
Knivsta,1.391304347826087,69
Karlshamn,1.3623188405797102,69
